accepting,acceptng
possibles,posbls
power,powr
powering,powrng
powers,powrs
president,presidnt
presidents,presidnts
pressure,pressur
pressures,pressurs
private,privat
privates,privats
probably,probbly
problem,problm
problems,problms
processing,procesng
projecting,projectng
protecting,protectng
pull,pul
pulled,puld
pulling,pulng
pulls,puls
pushed,pushd
pushing,pushng
putting,putng
questioning,questionng
quickly,quikly
raise,rase
raised,rased
raises,rases
reached,reachd
reaching,reachng
read,red
reading,readng
reading,redng
ready,redy
readying,redying
really,realy
reason,reasn
reasoning,reasnng
reasons,reasns
receive,receve
received,receved
receives,receves
recording,recordng
remaining,remainng
remember,remembr
remembered,remembrd
remembering,remembrng
remembers,remembrs
replied,replyd
reporting,reportng
representing,representng
research,reserch
researching,reserchng
resource,resorce
resources,resorces
resting,restng
resulting,resultng
returned,returnd
returning,returng
right,ryt
righting,rytng
rights,ryts
risking,riskng
rolled,rold
rooming,roomng
saying,sayng
scene,sene
scenes,senes
school,scool
schooling,scoolng
schools,scools
season,seasn
seasoning,seasnng
seasons,seasns
second,secnd
seconds,secnds
see,se
seeing,seing
seeking,seekng
seemed,seemd
seeming,seemng
sees,ses
sell,sel
selling,selng
sells,sels
sending,sendng
serious,serius
serve,serv
serves,servs
settled,setld
settlers,setlrs
seven,sevn
sevens,sevns
several,sevrl
shooting,shootng
should,shud
shouted,shoutd
show,sho
showed,showd
showing,shoing
shows,shos
sign,syn
significant,synificnt
signing,synng
signs,syns
similar,simlr
simple,simpl
single,singl
singles,singls
sitting,sitng
small,smal
smaller,smalr
smallest,smalst
some,som
someone,somone
something,somthing
somethings,somthings
sometimes,somtimes
sounding,soundng
source,sorce
sources,sorces
speaking,speakng
spending,spendng
sporting,sportng
staff,staf
staffing,stafng
staffs,stafs
standing,standng
started,startd
starting,startng
stayed,stayd
staying,stayng
still,stil
stills,stils
stock,stok
stocking,stokng
stocks,stoks
stopped,stopd
store,stor
stores,stors
stories,storis
struck,struk
studied,studid
subjecting,subjectng
suggested,sujestd
summer,sumr
summers,sumrs
supper,supr
supplied,suplyd
support,suport
supporting,suportng
supports,suports
system,systm
systems,systms
talked,talkd
talking,talkng
taught,taut
taxing,taxng
teacher,teachr
teachers,teachrs
teaching,teachng
tell,tel
telling,telng
tells,tels
testing,testng
thanking,thankng
the,th
their,ther
theirs,thers
themselves,themselvs
there,ther
thinking,thinkng
though,tho
thought,thot
thoughts,thots
thousand,thousnd
thousands,thousnds
three,thre
threes,thres
through,thru
throw,thro
throwing,throing
throws,thros
together,togethr
training,trainng
traveled,travld
treatment,treatmnt
treatments,treatmnts
tree,tre
trees,tres
tried,tryd
trying,tryng
turned,turnd
turning,turnng
type,typ
types,typs
under,undr
understand,undrstand
understanding,undrstandng
understands,undrstands
usually,usuly
value,valu
values,valus
view,vew
viewing,vewng
views,vews
vowel,vowl
waited,waitd
waiting,waitng
walking,walkng
wall,wal
walling,walng
walls,wals
wanted,wantd
wanting,wantng
wasn't,wasnt
watch,wach
watched,wachd
watching,wachng
water,watr
watering,watrng
waters,watrs
wear,wer
wearing,werng
wears,wers
well,wel
welling,welng
wells,wels
were,wer
what,wat
whatever,watevr
when,wen
where,wher
whether,wethr
which,wich
while,wile
white,wite
whites,wites
who,ho
whole,hole
wholes,holes
whose,hos
why,wy
whys,wys
will,wil
willing,wilng
wills,wils
window,windo
windows,windos
woman,womn
wonder,wondr
wondering,wondrng
wonders,wondrs
wording,wordng
wore,wor
worked,workd
worker,workr
workers,workrs
working,workng
would,wud
write,rite
writes,rites
wrong,rong
wrongs,rongs
wrote,rote
you,u
young,yung
your,yr
yours,yrs
yous,yus
true,tru

abandon,abandn
abandoning,abandnng
abandons,abandns
above,abov
abroad,abrod
absence,absnce
absences,absnces
absolute,abslute
absolutely,abslutely
absolutes,abslutes
absorbing,absorbng
abstracting,abstractng
accelerate,accelrate
accelerates,accelrates
acceptable,acceptbl
acceptance,acceptnce
accepting,acceptng
accessible,accesbl
accident,accidnt
accidents,accidnts
accommodate,acomodate
accommodates,acomodates
accompany,acompny
accompanying,acompnying
accomplish,acomplish
accomplishing,acomplishng
accomplishment,acomplishmnt
accomplishments,acomplishmnts
account,acount
accountability,acountbility
accounting,acountng
accounts,acounts
accuracy,acuracy
accurate,acurat
accurately,acuratly
accusation,acusation
accusations,acusations
accuse,acuse
accuses,acuses
achieve,acheve
achievement,achevemnt
achievements,achevemnts
achieves,acheves
acknowledge,aknolej
acknowledges,aknolejs
acquire,aquire
acquires,aquires
acquisition,aquisition
acquisitions,aquisitions
acting,actng
active,activ
actively,activly
actor,actr
actors,actrs
actual,actul
adapting,adaptng
added,add
addition,adition
additional,aditionl
additions,aditions
address,adress
addressing,adresng
adequate,adequat
adjust,ajust
adjusting,ajustng
adjustment,ajustmnt
adjustments,ajustmnts
adjusts,ajusts
administer,administr
administering,administrng
administrative,administrativ
adolescent,adlesnt
adolescents,adlesnts
adopting,adoptng
adult,adlt
adults,adlts
advantage,advantaj
advantages,advantajs
adventure,adventur
adventures,adventurs
advertising,advrtising
advocate,advocat
advocates,advocats
affair,afair
affairs,afairs
affect,afect
affecting,afectng
affects,afects
afford,aford
affording,afordng
affords,afords
african,africn
africans,africns
afternoon,aftrnoon
afternoons,aftrnoons
afterward,aftrwrd
afterwards,afrwrds
afterwards,aftrwrds
age,aje
ageing,ajing
agency,ajency
agenda,ajenda
agendas,ajendas
agent,ajent
agents,ajents
ages,ajes
aggression,agression
aggressions,agressions
aggressive,agressiv
agreement,agreemnt
agreements,agreemnts
agricultural,agricultrl
agriculture,agricultur
ahead,ahed
aide,aid
aides,aids
aiding,aidng
aiming,aimng
aisle,ile
aisles,iles
alarming,alarmng
album,albm
albums,albms
allegation,alegation
allegations,alegations
alleged,alejd
allegedly,alejedly
alley,ally
alleys,allis
alliance,alyance
alliances,alyances
ally,aly
allying,alyng
alter,altr
altering,altrng
alternative,alternativ
alternatives,alternativs
alters,altrs
altogether,altogethr
aluminum,aluminm
ambassador,ambassadr
ambassadors,ambassadrs
ambitious,ambitius
amendment,amendmnt
amendments,amendmnts
american,americn
americans,americns
analyst,anlyst
analysts,anlysts
analyze,anlyz
ancestor,ancestr
ancestors,ancestrs
angel,anjel
angels,anjels
anger,angr
angering,angrng
angers,angrs
angle,angl
angles,angls
ankle,ankl
ankles,ankls
anniversary,aniversry
announce,anounce
announcement,anouncemnt
announcements,anouncemnts
announces,anounces
annual,anul
annually,anuly
annuals,anuls
anonymous,anonmus
anxious,anxius
anymore,anymor
anywhere,anywher
apartment,apartmnt
apartments,apartmnts
apologize,apolojize
apologizes,apolojizes
apparent,aparent
apparently,aparently
appeal,apeal
appealing,apealng
appeals,apeals
appearance,apearnce
appearances,apearnces
apple,apl
apples,apls
application,aplication
applications,aplications
apply,aply
applying,aplyng
appoint,apoint
appointing,apointng
appointment,apointmnt
appointments,apointmnts
appoints,apoints
appreciate,apreciate
appreciates,apreciates
appreciation,apreciation
appropriate,apropriat
appropriate,apropriate
approval,aproval
approve,aprove
approves,aproves
approximately,aproxmatly
architecture,architectur
argument,argumnt
arguments,argumnts
armed,armd
arrange,aranje
arrangement,aranjemnt
arrangements,aranjemnts
arranges,aranjes
array,aray
arrays,arays
arrest,arest
arresting,arestng
arrests,arests
arrival,arival
arrivals,arivals
arrive,arive
arrives,arives
arrow,aro
arrows,aros
articulate,articulat
assault,asalt
assaulting,asaltng
assaults,asalts
assemble,asembl
assembly,asembly
assert,asert
asserting,asertng
asserts,aserts
assess,asess
assessing,asesng
assessment,asesmnt
assessments,asesmnts
assign,asyn
assigning,asynng
assignment,asynmnt
assignments,asynmnts
assist,asist
assistance,asistnce
assistant,asistnt
assistants,asistnts
assisting,asistng
assists,asists
associate,asociat
associate,asociate
associated,asociated
associates,asociates
associates,asociats
association,asociation
associations,asociations
assume,asume
assumes,asumes
assumption,asumtion
assumptions,asumtions
assure,asure
assures,asures
astronomer,astronmr
astronomers,astronmrs
atmosphere,atmosfere
atmospheres,atmosferes
attach,atach
attaching,atachng
attempt,atemt
attempting,atemtng
attempts,atemts
attend,atend
attendance,atendnce
attendances,atendnces
attending,atendng
attends,atends
attitude,atitude
attitudes,atitudes
attorney,atorny
attorneys,atornis
attract,atract
attracting,atractng
attraction,atraction
attractions,atractions
attractive,atractiv
attracts,atracts
attribute,atribute
attributes,atributes
aunt,ant
aunts,ants
authorize,authrize
automatic,autmatic
automatically,autmaticly
automobile,autmobil
automobiles,autmobils
autonomy,autonmy
availability,availbility
average,avraj
averages,avrajs
avoiding,avoidng
awaiting,awaitng
awarding,awardng
background,bakground
backgrounds,bakgrounds
backyard,bakyard
backyards,bakyards
ball,bal
balloon,baloon
ballooning,baloonng
balloons,baloons
ballot,balot
balloting,balotng
ballots,balots
balls,bals
banding,bandng
banker,bankr
bankers,bankrs
barrel,barel
barrels,barels
barrier,barir
barriers,barirs
baseball,basebal
basement,basemnt
basements,basemnts
basically,basicly
basketball,basketbal
bathing,bathng
battery,batry
battle,batl
battles,batls
baying,bayng
beaching,beachng
beaming,beamng
bear,ber
bearing,berng
bears,bers
beating,beatng
beautiful,butiful
beauty,buty
bee,be
bees,bes
beginning,beginng
beginnings,beginngs
behavioral,behaviral
bell,bel
bells,bels
belonging,belongng
below,belo
belting,beltng
bending,bendng
benefiting,benefitng
bicycle,bicycl
bicycles,bicycls
bill,bil
billing,bilng
bills,bils
binding,bindng
biography,biografy
biological,biolojicl
biology,biolojy
bitter,bitr
bitters,bitrs
blanketing,blanketng
blasting,blastng
blending,blendng
blessing,blesng
blessings,blesngs
blinding,blindng
blinking,blinkng
block,blok
blocking,blokng
blocks,bloks
bloody,blody
blow,blo
blowing,bloing
blows,blos
blue,blu
boasting,boastng
boating,boatng
boiling,boilng
bolting,boltng
bomb,bom
bombing,bomng
bombings,bomngs
bombs,boms
bonding,bondng
booming,boomng
boosting,boostng
border,bordr
bordering,bordrng
borders,bordrs
boring,borng
borrow,boro
borrowing,boroing
borrows,boros
bossing,bosng
bother,bothr
bothering,bothrng
bothers,bothrs
bottle,botl
bottles,botls
bottom,botm
bottoms,botms
boundary,boundry
bow,bo
bowing,boing
bowing,bowng
bowl,bol
bowling,bolng
bowls,bols
bows,bos
boyfriend,boyfrend
boyfriends,boyfrends
branching,branchng
bread,bred
breads,breds
breakfast,brekfast
breakfasting,brekfastng
breakfasts,brekfasts
breast,brest
breasts,brests
breath,breth
breathe,brethe
breathes,brethes
breathing,brething
breaths,breths
breeze,breze
breezes,brezes
brick,brik
bricks,briks
bridge,brij
bridges,brijs
briefing,briefng
bright,bryt
brilliant,briliant
broad,brod
broadcast,brodcast
broadcasting,brodcastng
broadcasts,brodcasts
broads,brods
bronze,bronz
bronzes,bronzs
browning,brownng
brushing,brushng
bubble,bubl
bubbles,bubls
buck,buk
bucket,buket
buckets,bukets
bucking,bukng
bucks,buks
budget,bujet
budgeting,bujetng
budgets,bujets
builder,bildr
builders,bildrs
bull,bul
bullet,bulet
bullets,bulets
bulls,buls
burden,burdn
burdens,burdns
bureau,burau
bureaus,buraus
burning,burnng
bursting,burstng
businessman,busnesman
busing,busng
butt,but
butter,butr
butterfly,butrfly
buttering,butrng
butting,butng
button,butn
buttoning,butnng
buttons,butns
butts,buts
buyer,byr
buyers,byrs
cabin,cabn
cabinet,cabnet
cabinets,cabnets
cabins,cabns
cage,caje
cages,cajes
calendar,calendr
calendars,calendrs
calming,calmng
camera,camra
cameras,camras
camping,campng
canceling,cancelng
candidate,candidat
candidates,candidats
candle,candl
candles,candls
canvass,canvas
capable,capabl
capital,capitl
capitals,capitls
captain,captn
captains,captns
capture,captur
captures,capturs
carbon,carbn
carbons,carbns
carefully,carefuly
carpeting,carpetng
carrier,carrir
carriers,carrirs
carrot,carot
carrots,carots
carting,cartng
carve,carv
carves,carvs
cashing,cashng
casting,castng
casual,casul
casualty,casulty
catalog,catlog
category,categry
catholic,cathlic
catholics,cathlics
cattle,catl
cease,cese
ceases,ceses
ceiling,celing
ceilings,celings
cell,cel
cells,cels
cemetery,cemetry
ceremony,ceremny
challenge,chalenj
challenges,chalenjs
championing,championng
change,chanje
changes,chanjes
changing,chanjing
channel,chanl
channeling,chanlng
channels,chanls
chaos,caos
chapter,chaptr
chapters,chaptrs
characteristic,caractristic
characteristics,caractristics
characterize,caractrize
characterizes,caractrizes
charge,charj
charges,charjs
charming,charmng
charter,chartr
charters,chartrs
cheating,cheatng
check,chek
checking,chekng
checks,cheks
cheering,cheerng
cheese,chese
cheeses,cheses
chemical,chemicl
chemicals,chemicls
chewing,chewng
chicken,chikn
chickens,chikns
chill,chil
chilling,chilng
chills,chils
chocolate,choclat
chocolates,choclats
cholesterol,colestrl
christian,cristian
christianity,cristianity
christians,cristians
christmas,crismas
chronic,cronic
cigarette,cigret
cigarettes,cigrets
circle,circl
circles,circls
circumstance,circmstnce
circumstances,circmstnces
citizen,citizn
citizens,citizns
citizenship,citiznship
civil,civl
civilization,civlization
civilizations,civlizations
claiming,claimng
classical,classicl
classifying,classifyng
classroom,clasroom
classrooms,clasrooms
cleaning,cleanng
click,clik
clicking,clikng
clicks,cliks
cliff,clif
cliffs,clifs
climate,climat
climates,climats
climbing,climbng
clinging,clingng
clinical,clinicl
clock,clok
clocking,clokng
clocks,cloks
clue,clu
clues,clus
cluster,clustr
clustering,clustrng
clusters,clustrs
coaching,coachng
coastal,coastl
coasting,coastng
coating,coatng
cocaine,cocain
coffee,cofee
coffees,cofees
cognitive,cognitiv
coining,coinng
collaboration,colabration
collapse,colaps
collapses,colapses
collar,colr
collars,colrs
colleague,coleag
colleagues,coleags
collect,colect
collecting,colectng
collection,colection
collections,colections
collective,colectiv
collectives,colectivs
collector,colectr
collectors,colectrs
collects,colects
college,colej
colleges,colejs
column,colum
columnist,columist
columnists,columists
columns,colums
combating,combatng
combination,combnation
combinations,combnations
comfort,comfrt
comfortable,comfrtbl
comforting,comfrtng
comforts,comfrts
coming,comng
comings,comngs
command,comand
commander,comandr
commanders,comandrs
commanding,comandng
commands,comands
comment,coment
commenting,comentng
comments,coments
commercial,comercial
commercials,comercials
commission,comission
commissioner,comissionr
commissioners,comissionrs
commissioning,comissionng
commissions,comissions
commit,comit
commitment,comitmnt
commitments,comitmnts
commits,comits
committee,comitee
committees,comitees
commodity,comodity
commonly,comnly
communicate,comunicate
communicates,comunicates
communication,comunication
communications,comunications
comparable,comprbl
comparison,comparisn
comparisons,comparisns
compelling,compelng
compensation,compnsation
compensations,compnsations
competitive,competitiv
competitor,competitr
competitors,competitrs
complaining,complainng
complying,complyng
compounding,compoundng
comprehensive,comprehensiv
comprehensives,comprehensivs
compromise,comprmise
compromises,comprmises
conceive,conceve
conceives,conceves
concerned,concernd
condemn,condem
condemning,condemng
condemns,condems
conducting,conductng
conference,confrnce
conferences,confrnces
confessing,confesng
confidence,confidnce
confidences,confidnces
confident,confidnt
confirming,confirmng
conflicting,conflictng
confronting,confrontng
congressional,congressionl
connect,conect
connecting,conectng
connection,conection
connections,conections
connects,conects
conscience,concience
consciences,conciences
conscious,concius
consciousness,conciusness
consecutive,consecutiv
consenting,consentng
conservation,consrvation
conservative,conservativ
conservatives,conservativs
considerable,considrbl
considerably,considrbly
consideration,considration
considerations,considrations
consistent,consistnt
consistently,consistntly
consisting,consistng
constant,constnt
constantly,constntly
constants,constnts
constitutional,constitutionl
constructing,constructng
consultant,consultnt
consultants,consultnts
consulting,consultng
consumption,consumtion
contacting,contactng
container,containr
containers,containrs
containing,containng
contemplate,contmplate
contemplates,contmplates
contemporary,contempry
contending,contendng
contesting,contestng
continent,contnnt
continents,contnnts
continued,continud
continuous,continuus
contracting,contractng
contractor,contractr
contractors,contractrs
contrasting,contrastng
controversy,controvrsy
conventional,conventionl
conversation,convrsation
conversations,convrsations
convert,convrt
converting,convertng
converts,convrts
conveying,conveyng
cookie,cooki
cookies,cookis
cooking,cookng
cooling,coolng
cooperate,cooprate
cooperation,coopration
cooperative,cooprativ
cooperatives,cooprativs
coordinate,coordnat
coordinate,coordnate
coordinates,coordnates
coordinates,coordnats
coordinator,coordnator
cording,cordng
core,cor
cores,cors
corner,cornr
cornering,cornrng
corners,cornrs
corporate,corprat
corporation,corpration
corporations,corprations
correct,corect
correcting,corectng
correctly,corectly
corrects,corects
correlation,corelation
correlations,corelations
correspondent,corespondnt
correspondents,corespondnts
corridor,coridr
corridors,coridrs
corruption,coruption
cottage,cotaj
cottages,cotajs
cotton,cotn
cottons,cotns
counsel,counsl
counseling,counslng
counselor,counslr
counselors,counslrs
counsels,counsls
counter,countr
countering,countrng
counterpart,countrpart
counterparts,countrparts
counters,countrs
counting,countng
coup,cu
coups,cus
courage,curaj
courtroom,cortroom
courtrooms,cortrooms
cousin,cusn
cousins,cusns
coverage,covraj
crack,crak
cracking,crakng
cracks,craks
crashing,crashng
crawling,crawlng
creaming,creamng
creative,creativ
creature,creatur
creatures,creaturs
credibility,credbility
criminal,crimnl
criminals,crimnls
critical,criticl
crossing,crosng
crowded,crowdd
crowding,crowdng
cruise,cruse
cruises,cruses
crushing,crushng
crying,cryng
crystal,crystl
crystals,crystls
cue,cu
cues,cus
cultural,cultrl
curious,curius
currency,curency
currently,curently
curriculum,curiculum
curtain,curtn
curtains,curtns
curve,curv
curves,curvs
custom,custm
customer,custmr
customers,custmrs
customs,custms
cycle,cycl
cycles,cycls
damage,damaj
damages,damajs
damn,dam
damning,damng
danger,danjer
dangerous,danjerus
dangers,danjers
darkness,darkns
dawning,dawnng
deadline,dedline
deadlines,dedliness
deadly,dedly
dealer,dealr
dealers,dealrs
debris,debri
debt,det
debts,dets
debut,debu
deck,dek
decks,deks
decorate,decrate
decrease,decrese
decreases,decreses
defeating,defeatng
defendant,defendnt
defendants,defendnts
defender,defendr
defenders,defendrs
defending,defendng
defensive,defensiv
definitely,defnitly
definition,defnition
definitions,defnitions
delaying,delayng
deliberately,delibratly
delicate,delicat
delight,delyt
delighting,delytng
delights,delyts
deliver,delivr
delivering,delivrng
delivers,delivrs
delivery,delivry
demanding,demandng
demographic,demografic
demonstrate,demnstrate
demonstrates,demnstrates
demonstration,demnstration
demonstrations,demnstrations
denying,denyng
departing,departng
department,departmnt
departments,departmnts
departure,departur
departures,departurs
dependent,dependnt
depending,dependng
depicting,depictng
deploying,deployng
depositing,depositng
depressed,depresd
descend,desend
descending,desendng
descends,desends
desert,desrt
deserting,desertng
deserts,desrts
deserve,deserv
deserves,deservs
design,desyn
designer,desynr
designers,desynrs
designing,desynng
designs,desyns
desperate,desprat
desperately,despratly
dessert,desert
desserts,deserts
destination,destnation
destinations,destnations
destroying,destroyng
detailed,detaild
detailing,detailng
detecting,detectng
detective,detectiv
detectives,detectivs
determination,determnation
developer,developr
developers,developrs
developmental,developmentl
devil,devl
devils,devls
dialogue,dialog
dialogues,dialogs
diamond,diamnd
diamonds,diamnds
dieting,dietng
differ,difr
differently,difrntly
differing,difrng
differs,difrs
difficulty,dificlty
digital,dijitl
dilemma,dilema
dilemmas,dilemas
diminishing,diminishng
dinner,dinr
dinners,dinrs
diplomat,diplmat
diplomatic,diplmatic
diplomats,diplmats
directing,directng
disappear,disapear
disappearing,disapearng
disappears,disapears
disappointed,disapointd
disappointment,disapointmnt
disappointments,disapointmnts
disaster,disastr
disasters,disastrs
discipline,disiplin
disciplines,disiplins
discounting,discountng
discourage,discuraj
discourages,discurajs
discourse,discorse
discourses,discorses
discover,discovr
discovering,discovrng
discovers,discovrs
discovery,discovry
discrimination,discrimnation
discs,disks
discussing,discusng
dishing,dishng
dismissing,dismisng
disorder,disordr
disorders,disordrs
displaying,displayng
dissolve,disolv
dissolves,disolvs
distance,distnce
distances,distnces
distant,distnt
distinctive,distinctiv
distinguishing,distinguishng
distracting,distractng
disturbing,disturbng
dock,dok
docks,doks
doctrine,doctrin
doctrines,doctrins
document,documnt
documentary,documentry
documenting,documntng
documents,documnts
doll,dol
dolls,dols
dominant,domnnt
dominate,domnate
dominates,domnates
doorway,dorway
doorways,dorways
double,dubl
doubles,dubls
doubt,dout
doubting,doutng
doubts,douts
dough,doh
dozen,dozn
dozens,dozns
drafting,draftng
draining,drainng
dramatically,dramaticly
drawer,drawr
drawers,drawrs
drawings,drawngs
dreaming,dreamng
dressing,dresng
dried,dryd
drifting,driftng
drill,dril
drilling,drilng
drills,drils
drinking,drinkng
drowning,drownng
drying,dryng
duck,duk
ducking,dukng
ducks,duks
due,du
dumb,dum
dumping,dumpng
dusting,dustng
dying,dyng
eager,eagr
earn,ern
earning,ernng
earnings,ernngs
earns,erns
earth,erth
earthquake,erthquake
earthquakes,erthquakes
earths,erths
ease,ese
eases,eses
easily,esily
eastern,eastrn
echo,eco
echoing,ecoing
ecological,eclojicl
economically,ecnomicly
economist,econmist
economists,econmists
ecosystem,ecosystm
ecosystems,ecosystms
edge,ej
edges,ejs
editing,editng
editor,editr
editors,editrs
educational,educationl
effective,efectiv
effectively,efectivly
effectiveness,efectivness
efficiency,eficiency
efficient,eficient
egg,eg
egging,egng
